,Course number,Course Name,lecture days per week,lecture hours,lab hours,number of sections,Preferred Room
,COMP1000,Computer Science 1,2,3,2,3,
,COMP1010,Fundamentals of IT,2,3,2,0,
,COMP1050,Computer Science 2,2,3,2,11,
,COMP1100,Intro to Networks,2,3,2,1,
,COMP1150,Routing and Switching,2,3,2,2,
,COMP1200,Computer Organization,2,3,2,6,
,COMP2000,Data Structures,2,3,2,2,
,COMP2010,Systems Analysis & Design,2,3,2,0,
,COMP2100,Network Programming,2,3,2,1,
,COMP2150,Network Administration,2,3,2,3,
,COMP2160,Wireless Networks,2,3,2,1,
,COMP2350,Algorithms,2,3,2,5,
,COMP2500,Security Principles,2,3,2,3,
,COMP2540,Ethical Hacking,2,4,0,1,
,COMP2650,Databases,2,3,2,4,
,COMP3000,Applications of AI,1,4,0,0,
,COMP3010,IT SW devel. & Mgmnt.,2,3,2,0,
,COMP3125,Data Science Fundamentals,2,3,2,0,
,COMP3200,Assembly Language,2,3,2,1,
,COMP3220,Data Analytics,,3,2,0,
,COMP3225,Game Development,2,3,2,1,
,COMP3230,Game Engine Development,2,3,2,0,
,COMP3350,Programming Languages,2,3,2,0,
,COMP3400,Operating Systems,2,3,2,1,
,COMP3450,Parallel & Distributed Computing,2,3,2,1,
,COMP3480,Cloud Computing,2,3,2,0,
,COMP3500,Network Security,2,3,2,0,
,COMP3510,IoT Security,2,3,2,0,
,COMP3550,Computer Security,2,3,2,0,
,COMP3575,Scripting for Cybersecurity & Forensics,2,3,2,0,
,COMP3580,Digital Forensics,2,3,2,1,
,COMP3590,Applied Cryptography,2,3,2,0,
,COMP3600,Software Security,2,3,2,0,
,COMP3650,Malware Analysis Basics,2,3,2,0,
,COMP3660,Mobile App Development,2,3,2,0,
,COMP3800,Electives,2,4,0,3,
,COMP4060,Blockchain Technologies,2,4,0,0,
,COMP4150,Adv. Systems Administration,2,3,2,0,
,COMP4225,Game Design Projects,2,3,2,0,
,COMP4450,Systems Programming,2,3,2,0,
,COMP4460,Compilers,2,3,2,0,
,COMP4500,Offensive Security,2,3,2,2,
,COMP4550,Incident Response & Business Cont.,2,3,2,0,
,COMP4580,Network Forensics,2,3,2,0,
,COMP4590,Public Key Cryptography,2,3,2,0,
,COMP4600,Quantum Computing for Security,2,3,2,1,
,COMP4650,Web Development,2,3,2,2,
,COMP4700,Artificial Intelligence,2,3,2,0,
,COMP4725,Big Data Programming,2,4,0,0,
,COMP4750,Embedded AI,2,3,2,0,
,COMP4760,Image Processing,2,3,2,0,
,COMP4770,AI for Gaming,2,3,2,0,
,COMP4775,Adv. Parallel Computing,2,3,2,0,
,COMP4950,Project Management,2,3,2,2,
,COMP4960,Software Engineering,2,3,2,4,
,COMP5050,Modern Computing,1,4,0,1,
,COMP5100,Natural Language Processing,1,3,0,0,
,COMP5500,Senior Project,1,3,0,0,
,COMP5600,Foundations of Cybersecurity,1,3,0,0,
,COMP5620,Data Privacy & Security,1,3,0,0,
,COMP5700,Classical Artificial Intelligence,1,4,0,1,
,COMP5705,Data Mining,1,3,0,0,
,COMP5710,Principles of Machine Learning,1,3,0,0,
,COMP5750,Embedded AI,1,3,0,1,
,COMP5775,Adv. Parallel Computing,1,3,0,0,
,COMP5900,Programming Fundamentals,1,3,0,0,
,COMP5925,Data Structures & Algorithms,2,6,0,0,
,COMP5950,Network & Systems Admin,1,3,0,0,
,COMP6000,Intrusion Det. & Prev. Systems,1,3,0,0,
,COMP6100,Secure Software Development,1,3,0,0,
,COMP6420,Reverse Engineering,1,3,0,0,
,COMP6500,Adv. Network Security,1,3,0,1,
,COMP6520,Malware Analysis,1,3,0,0,
,COMP6550,Threat Intelligence,1,3,0,0,
,COMP6580,Digital For. & Incidence Response,1,3,0,0,
,COMP6760,Computer Vision,1,3,0,0,
,COMP6999,Tech. Projects Development,1,3,0,0,
,COMP7025,Sports Analytics,1,3,0,1,
,COMP7100,Adv. Algorithms,1,3,0,0,
,COMP7350,Big Data Systems,1,3,0,0,
,COMP7430,Prompt Engineering,1,3,0,0,
,COMP7431,Adv. Software Engineering,1,3,0,1,
,COMP7800,Grad Electives,1,3,0,0,
,DATA1000,Data Analytics,1,4,0,1,
,DATA3010,Data Mining,1,4,0,0,
,DATA5000,Applied Large Language Models,1,3,0,0,
,DATA5500,Senior Design,2,3,2,0,
,DATA6000,Applied Statistics for Research,1,3,0,0,
,DATA6100,Data Visualization,1,3,0,0,
,DATA6150,Data Science Foundations,1,3,0,0,
,DATA6200,Data Management,1,3,0,1,
,DATA6250,ML for Data Science,1,3,0,1,
,DATA6300,Advanced Topics in Large Language Models,1,3,0,0,
,DATA6710,Applied Deep Learning,1,3,0,0,
,DATA7800,Electives,1,3,0,0,