Course,Type,PreferenceRank,Location,max_cap
COMP 1000,Lab,1,DOBBS 203,25
COMP 1000,Lab,2,RBSTN 103,25
COMP 1000,Lab,3,WILLS 204,25
COMP 1000,Lecture,1,BEATT 402,25
COMP 1000,Lecture,2,ANXCN 014,25
COMP 1000,Lecture,3,KNGMN 201,25
COMP 1050,Lab,1,DOBBS 310,25
COMP 1050,Lab,2,WATSN 001,25
COMP 1050,Lab,3,DOBBS 203,25
COMP 1050,Lab,4,DOBBS 302,25
COMP 1050,Lab,5,DOBBS 306,25
COMP 1050,Lab,6,WATSN 006,25
COMP 1050,Lab,7,WILLS 202,24
COMP 1050,Lecture,1,DOBBS 302,25
COMP 1050,Lecture,2,BEATT 419,25
COMP 1050,Lecture,3,DOBBS 310,25
COMP 1050,Lecture,4,WATSN 006,25
COMP 1050,Lecture,5,WENTW 010,25
COMP 1050,Lecture,6,WILLS 204,25
COMP 1050,Lecture,7,WENTW 004,24
COMP 1100,Lab,1,DOBBS 302,25
COMP 1100,Lecture,1,DOBBS 203,25
COMP 1150,Lab,1,WENTW 004,20
COMP 1150,Lab,2,DOBBS 302,20
COMP 1150,Lecture,1,WENTW 004,20
COMP 1150,Lecture,2,DOBBS 203,20
COMP 1200,Lab,1,ANXCN 107,25
COMP 1200,Lab,2,DOBBS 203,25
COMP 1200,Lab,3,WATSN 001,25
COMP 1200,Lab,4,WATSN 004,25
COMP 1200,Lab,5,WENTW 010,25
COMP 1200,Lab,6,ANXCN 103,24
COMP 1200,Lab,7,WENTW 004,24
COMP 1200,Lecture,1,ANXCN 107,25
COMP 1200,Lecture,2,DOBBS 203,25
COMP 1200,Lecture,3,WATSN 004,25
COMP 1200,Lecture,4,WATSN 006,25
COMP 1200,Lecture,5,WENTW 010,25
COMP 1200,Lecture,6,ANXCN 103,24
COMP 1200,Lecture,7,WENTW 205,24
COMP 2000,Lab,1,BEATT 420,25
COMP 2000,Lab,2,ANXCN 209,24
COMP 2000,Lecture,1,WENTW 010,25
COMP 2000,Lecture,2,WATSN 001,24
COMP 2100,Lab,1,RBSTN 103,25
COMP 2100,Lecture,1,RBSTN 103,25
COMP 2150,Lab,1,ANXCN 306,25
COMP 2150,Lab,2,WILLS 105,25
COMP 2150,Lab,3,WILLS 202,25
COMP 2150,Lecture,1,ANXCN 014,25
COMP 2150,Lecture,2,BEATT 403,25
COMP 2150,Lecture,3,WATSN 001,25
COMP 2160,Lab,1,WENTW 010,25
COMP 2160,Lecture,1,WENTW 010,25
COMP 2350,Lab,1,WATSN 002,26
COMP 2350,Lab,2,ANXCN 101,25
COMP 2350,Lab,3,DOBBS 302,25
COMP 2350,Lab,4,WATSN 006,25
COMP 2350,Lab,5,WILLS 202,25
COMP 2350,Lecture,1,WILLS 204,26
COMP 2350,Lecture,2,ANXCN 103,25
COMP 2350,Lecture,3,DOBBS 302,25
COMP 2350,Lecture,4,WATSN 002,25
COMP 2350,Lecture,5,WENTW 010,25
COMP 2500,Lab,1,DOBBS 203,25
COMP 2500,Lab,2,DOBBS 308,25
COMP 2500,Lab,3,WATSN 004,25
COMP 2500,Lecture,1,ANXCN 203,25
COMP 2500,Lecture,2,BEATT 401,25
COMP 2500,Lecture,3,RBSTN 201,25
COMP 2650,Lab,1,ANXCN 105,26
COMP 2650,Lab,2,ANXCN 209,26
COMP 2650,Lab,3,DOBBS 203,25
COMP 2650,Lab,4,RBSTN 201,25
COMP 2650,Lab,5,WATSN 002,25
COMP 2650,Lab,6,RBSTN 103,24
COMP 2650,Lecture,1,ANXCN 101,26
COMP 2650,Lecture,2,WENTW 010,25
COMP 2650,Lecture,3,ANXCN 105,25
COMP 2650,Lecture,4,WATSN 002,25
COMP 2650,Lecture,5,BEATT 401,24
COMP 3100,Lab,1,WATSN 001,25
COMP 3100,Lecture,1,WATSN 001,25
COMP 3590,Lecture,1,WATSN 004,25
COMP 3660,Lab,1,BEATT 403,25
COMP 3660,Lecture,1,WATSN 004,25
COMP 3800,Lab,1,DOBBS 302,25
COMP 3800,Lab,2,DOBBS 308,25
COMP 3800,Lab,3,ANXCN 107,24
COMP 3800,Lecture,1,WENTW 010,25
COMP 3800,Lecture,2,BEATT 402,25
COMP 3800,Lecture,3,WENTW 004,24
COMP 4500,Lecture,1,BEATT 403,25
COMP 4600,Lab,1,DOBBS 308,25
COMP 4600,Lecture,1,BEATT 402,25
COMP 4650,Lab,1,ANXCN 203,26
COMP 4650,Lab,2,BEATT 402,24
COMP 4650,Lecture,1,WATSN 002,26
COMP 4650,Lecture,2,WENTW 004,24
COMP 4960,Lab,1,WILLS 202,25
COMP 4960,Lab,2,DOBBS 308,26
COMP 4960,Lab,3,RBSTN 103,25
COMP 4960,Lecture,1,WATSN 002,26
COMP 4960,Lecture,2,ANXCN 107,25
COMP 4960,Lecture,3,WENTW 010,25
COMP 4960,Lecture,4,WILLS 202,25
COMP 5050,Lecture,1,BEATT 402,25
COMP 5500,Lab,1,BEATT 401,12
COMP 5500,Lecture,1,BEATT 401,12
COMP 5705,Lecture,1,DOBBS 203,20
COMP 7550,Lecture,1,DOBBS 203,12
COMP 7800,Lab,1,RBSTN 103,20
COMP 7800,Lecture,1,BEATT 402,20
COMP 7800,Lecture,2,RBSTN 103,20
COMP 7800,Lecture,3,WENTW 305,20
MATH 1000,Lecture,1,KNGMN 202,25
MATH 1000,Lecture,2,ANXSO 013,24
MATH 1020,Lecture,1,ANXCN 103,25
MATH 1020,Lecture,2,WENTW 214,25
MATH 1030,Lecture,1,WENTW 214,27
MATH 1030,Lecture,2,BEATT 403,25
MATH 1030,Lecture,3,KNGMN 201,25
MATH 1030,Lecture,4,WENTW 212,25
MATH 1500,Lecture,1,WENTW 214,25
MATH 1500,Lecture,2,WENTW 210,25
MATH 1500,Lecture,3,WILLS 102,25
MATH 1750,Lecture,1,DOBBS 310,28
MATH 1750,Lecture,2,ANXCN 203,25
MATH 1750,Lecture,3,WENTW 206,25
MATH 1750,Lecture,4,WENTW 310,25
MATH 1775,Lab,1,WILLS 105,27
MATH 1775,Lecture,1,WILLS 202,27
MATH 1850,Lecture,1,RBSTN 104,25
MATH 1850,Lecture,2,WENTW 314,25
MATH 1850,Lecture,3,WENTW 307,26
MATH 1850,Lecture,4,DOBBS 310,25
MATH 1850,Lecture,5,WATSN 006,25
MATH 1850,Lecture,6,WENTW 206,25
MATH 1850,Lecture,7,WENTW 207,25
MATH 1850,Lecture,8,WENTW 310,25
MATH 1850,Lecture,9,WILLS 102,25
MATH 1875,Lab,1,BEATT 421,25
MATH 1875,Lab,2,ANXCN 203,25
MATH 1875,Lab,3,ANXCN 306,25
MATH 1875,Lecture,1,BEATT 421,25
MATH 1875,Lecture,2,ANXCN 203,25
MATH 1875,Lecture,3,WATSN 006,25
MATH 1900,Lecture,1,WATSN 002,25
MATH 2025,Lecture,1,WENTW 310,25
MATH 2025,Lecture,2,WENTW 314,25
MATH 2025,Lecture,3,BEATT 403,26
MATH 2025,Lecture,4,RBSTN 104,25
MATH 2025,Lecture,5,WATSN 001,25
MATH 2025,Lecture,6,WENTW 214,25
MATH 2100,Lecture,1,WENTW 212,26
MATH 2100,Lecture,2,WENTW 210,25
MATH 2100,Lecture,3,WATSN 002,27
MATH 2100,Lecture,4,WATSN 006,26
MATH 2200,Lecture,1,WENTW 207,25
MATH 2200,Lecture,2,WENTW 312,25
MATH 2300,Lecture,1,WENTW 210,25
MATH 2300,Lecture,2,ANXCN 306,25
MATH 2300,Lecture,3,BEATT 420,25
MATH 2300,Lecture,4,WATSN 006,25
MATH 2500,Lecture,1,WILLS 102,26
MATH 2500,Lecture,2,BEATT 403,25
MATH 2500,Lecture,3,DOBBS 310,25
MATH 2500,Lecture,4,KNGMN 201,25
MATH 2500,Lecture,5,WATSN 006,25
MATH 2500,Lecture,6,WENTW 314,25
MATH 2800,Lecture,1,WENTW 210,25
MATH 2800,Lecture,2,WENTW 314,25
MATH 2860,Lecture,1,WENTW 206,27
MATH 2860,Lecture,2,WENTW 207,25
MATH 3950,Lecture,1,WENTW 206,25
MATH 4050,Lecture,1,WENTW 207,25
MATH 4100,Lecture,1,RBSTN 201,25
MATH 4400,Lecture,1,ANXCN 210,25
